FromTo,AAA,AA+,AA, AA-,A+, A,A-, BBB+,BBB,BBB-,BB+,BB, BB-,B+, B,B-, CCC+,CCC,CCC-,CC, C,D
AAA,1000,-1.286165082,-1.766792169,-2.304308263,-2.550733774,-2.875716558,-3.220265581,-3.346353188,-3.346353188,-3.346353188,-3.346353188,-3.501931352,-3.878790859,-3.878790859,-4.001334755,-4.001334755,-4.001334755,-4.001334755,-4.254033452,-4.254033452,-4.254033452,-4.254033452
AA+,1000,2.014355813,-0.870792179,-1.285767193,-1.859728947,-2.265760833,-2.647329383,-2.756936583,-3.156444475,-3.31524033,-3.35701814,-4.092971123,-4.092971123,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
AA, 1000,2.297742572,1.594022165,-0.937282825,-1.505447647,-1.912958517,-2.275482497,-2.523487298,-2.602557139,-2.850087338,-3.024006602,-3.126399525,-3.211187388,-3.211187388,-3.302161856,-3.364242206,-3.414233244,-3.414233244,-3.9290492,-3.9290492,-1000,-1000
AA-,1000,2.981229502,2.16748374, 1.571115066,-1.022888184,-1.558691597,-2.047620954,-2.325335712,-2.456893606,-2.704160871,-2.921128899,-2.972276827,-3.037965381,-3.130712563,-3.256711816,-3.256711816,-3.256711816,-3.273216643,-3.273216643,-3.273216643,-3.273216643,-3.273216643
A+, 1000,3.203675721,2.892972544,2.19512432, 1.496272079,-1.072732214,-1.608229434,-2.025406462,-2.217856474,-2.37757139,-2.475254901,-2.631474429,-2.786905202,-2.861308572,-3.005654213,-3.085035563,-3.117604976,-3.117604976,-3.142544187,-3.142544187,-3.142544187,-3.142544187
A,1000,3.150362089,3.094789639,2.783406669,2.209357274,1.516070277,-1.076779949,-1.59716073,-1.986551507,-2.246499829,-2.430997015,-2.562296634,-2.665495241,-2.816851698,-2.896822553,-2.950105564,-2.975771907,-3.061476893,-3.173984714,-3.203989913,-3.203989913,-3.203989913
A-, 1000,3.56592308, 3.133461438,2.907173781,2.648568349,2.052969852,1.374242377,-1.116390147,-1.575736976,-1.978985826,-2.246427904,-2.470846676,-2.578690258,-2.766090728,-2.920223125,-3.039791577,-3.105714179,-3.126296063,-3.140791398,-3.167865917,-3.230201539,-3.230201539
BBB+,1000,3.475406705,3.212095626,2.949004229,2.768463667,2.576944297,2.022105368,1.360131559,-1.113295983,-1.628401179,-1.993130151,-2.166051961,-2.304211019,-2.440030166,-2.647976718,-2.728892637,-2.779704001,-2.851092589,-2.904634473,-2.917539549,-2.955242258,-2.955242258
BBB,1000,3.342509037,3.071643622,2.97640366, 2.842896526,2.662816427,2.322958594,1.848239987,1.308005199,-1.241108948,-1.763542709,-1.992627882,-2.121618348,-2.276415797,-2.449492065,-2.625858294,-2.72178925,-2.856829009,-2.881359501,-2.905932863,-2.915151587,-2.915151587
BBB-,1000,3.313906626,3.25498566, 3.118352959,2.972627077,2.805232571,2.593524949,2.337225795,1.832887584,1.143284386,-1.227459424,-1.55914943,-1.830304518,-2.02531992,-2.220555198,-2.340532164,-2.469711982,-2.570232215,-2.633484585,-2.732247606,-2.778803854,-2.778803854
BB+,1000,3.454144796,3.433335361,3.240689869,3.057724489,2.78287722, 2.645869532,2.42987961, 2.196674833,1.711909658,1.019857767,-1.052523155,-1.326583072,-1.67533239,-1.870379686,-2.068909967,-2.25743901,-2.304039043,-2.390965653,-2.424614374,-2.453322729,-2.453322729
